Threads, Seconds
1,253.714
2,132.003
3,90.959
4,71.681
5,60.884
6,50.087
8,41.633
9,40.596
10,38.404
12,34.715
15,31.328
16,30.41
18,28.565
20,28.518
24,27.872
27,27.589
30,27.968
