Threads, Seconds
1,112.694
2,61.218
3,40.044
4,31.378
5,25.367
6,21.837
8,17.157
9,16.609
10,16.784
12,14.976
15,14.214
16,13.022
18,12.984
20,12.902
24,12.011
30,12.872
32,11.904
36,11.466
40,11.669
